"Status","Type","Previous Status","Account Name"
"New","Renewal","Verified","Happyfeet Daycare & Learning Center"
"New","Renewal","Verified","Mich-Inspect"
"New","Renewal","Verified","Barks Bubbles More"
"New","Renewal","Verified","Warwick Hanger"
"New","Renewal","Put-Through","Spaulding Decon Atlanta North Georgia"
"New","Renewal","Put-Through","LC Antiques"
"New","Renewal","Verified","Dalton Funeral Home"
"New","Renewal","Verified","Wheatley Auto Works"
"New","Renewal","Verified","Final Touch Construction"
"New","Renewal","Verified","Josephine's Post Mastectomy Shop"
"New","Renewal","Verified","Sam's Truck & Trailer"
"New","Renewal","Verified","A.N.R. Cleaning Service"
"New","Renewal","Verified","A La Carte Insurance Agency & Notary Svc"
"New","Renewal","Verified","MB Tax Solutions"
"New","Renewal","Verified","Rocky's Truck Service"
"New","Renewal","Verified","Nutt Roofing & Siding"
"New","Renewal","Verified","Conscious Karma Cleaning and Services"
"New","Renewal","Verified","Surgical Diesel Repair"
"New","Renewal","Verified","Surgical Diesel Repair"
"New","Renewal","Verified","AM Custom Workz & U-Haul"
"New","Renewal","Verified","Visiting Angels of Chesapeake"
"New","Renewal","Verified","Jeff Andrews State Farm Insurance"
"New","Renewal","Put-Through","SPI Maintenance"
"New","Renewal","Verified","Edna's Flowers & Gifts"
"New","Renewal","Verified","Twisted Automotive Mechanic "
"New","Renewal","Verified","P K Automotive"
"New","Renewal","Verified","Hamilton Paving Llc"
"New","Renewal","Verified","Curves"
"New","Renewal","Put-Through","Pizza Hut"
"New","Renewal","Verified","Personal Service Income Tax"
"New","Renewal","Put-Through","Rubys House of Silk"
"New","Renewal","Verified","Carpency's Auto Service"
"New","Renewal","Verified","Pizza Hut"
"New","Renewal","Verified","H & R Cabinets"
"New","Renewal","Verified","Upper Country Market"
"New","Renewal","Verified","American Roofing Company"
"New","Renewal","Verified","Wendt Tire Service"
"New","Renewal","Verified","A Server's Heart Cleaning Services"
"New","Renewal","Put-Through","Tayler Jensen Construction Llc"
"New","Renewal","Put-Through","Prestige Auto Repair"
"New","Renewal","Verified","Edwards Nissan & Kia"
"New","Renewal","Verified","Barrys Garage & Custom Llc"
"New","Renewal","Verified","Feed Me AK"
"New","Renewal","Verified","Burnam & Son Mortuary"
"New","Renewal","Verified","Gray's Cafe"
"New","Renewal","Verified","Party & Equipment Rentals"
"New","Renewal","Verified","Jenkins Security Services"
"New","Renewal","Verified","Wilbur-Ellis Company"
"New","Renewal","Verified","Great Wrench Auto Repair"
"New","Renewal","Verified","Muffler City Tire & Brake"
"New","Renewal","Verified","Team Texas Renovations"
"New","Renewal","Verified","Maher Water Corporation"
"New","Renewal","Verified","Jimmy Lake Plumbing"
"New","Renewal","Verified","Don Spencer Real Estate"
"New","Renewal","Verified","M & M Bakery"
"New","Renewal","Verified","Tom's Body Shop LLC"
"New","Renewal","Put-Through","Spanky & Buckwheat's Catering"
"New","Renewal","Verified","Fort Ann Motors"
"New","Renewal","Verified","B & K Trucking Inc."
"New","Renewal","Verified","HH Monroe Automotive"
"New","Renewal","Verified","Luke Billingsley"
"New","Renewal","Verified","Sturdevant's Auto Parts Inc"
"New","Renewal","Put-Through","C P Wrecker Service"
"New","Renewal","Verified","Heartland Auto Body"
"New","Renewal","Put-Through","Anderson Tax Service"
"New","Renewal","Verified","JMS Crane and Rigging"
"New","Renewal","Verified","S&B Tax And Credit Consulting Llc"
"New","Renewal","Verified","Joel's Heavy Duty Towing & Recovery, LLC"
"New","Renewal","Verified","Texas Farm Bureau Insurance Wichita County"
"New","Renewal","Verified","Misenheimer Paint & Body Shop"
"New","Renewal","Verified","Island Tool & Die"
"New","Renewal","Verified","Coopers Tax Service"
"New","Renewal","Put-Through","Lampert Lumber"
"New","Renewal","Put-Through","Villa Pueblo Senior Living"
"New","Renewal","Verified","Levine's Garage"
"New","Renewal","Verified","Eckroth Equipment Company Orefield"
"New","Renewal","Verified","Jeep's Autobody"
"New","Renewal","Verified","Rag To Riches Cleaning Solutions Llc"
"New","Renewal","Verified","Rogers Bowling Center"
"New","Renewal","Verified","B&R Painting Pro's"
"New","Renewal","Verified","SITREP Security Solutions"
"New","Renewal","Verified","Riverside Regional Library"
"New","Renewal","Verified","Fred Holland Realty Incorporated"
"New","Renewal","Verified","Jots Tree Service"
"New","Renewal","Verified","J & M Professional Tax "
"New","Renewal","Verified","Transitions for Special Needs Adults"
"New","Renewal","Verified","Christopher Duane Weddings"
"New","Renewal","Verified","Jbsmith Janitorial Services Llc"
"New","Renewal","Verified","Admeyerd Construction"
"New","Renewal","Verified","Midwest Security"
"New","Renewal","Put-Through","Jane's Income Tax & Bookkeeping"
"New","Renewal","Verified","Ken McGuire's Auto Service"
"New","Renewal","Verified","Freddy's Auto Service"
"New","Renewal","Verified","C & H Fencing"
"New","Renewal","Verified","ABC Title"
"New","Renewal","Verified","Gary Buckles Law Office"
"New","Renewal","Put-Through","Esg Construction LLC"
"New","Renewal","Verified","NJT Arms"
"New","Renewal","Put-Through","Fern Ridge Shores LLC"
"New","Renewal","Verified","Northern States Fishing Tools"
"New","Renewal","Verified","Lightshade"
"New","Renewal","Verified","Auto Science"
"New","Renewal","Verified","Santa Clara Smoke Shop"
"New","Renewal","Verified","PROCTOR GARAGE "
"New","Renewal","Verified","BNB Automotive"
"New","Renewal","Verified","Resler Automotive"
"New","Renewal","Put-Through","Masterpro Roofing Solution"
"New","Renewal","Put-Through","Morehouse Parish Library"
"New","Renewal","Verified","DET Elite Transportation"
"New","Renewal","Verified","St. Mary's Council on Aging"
"New","Renewal","Verified","Old Town Taxi LLC"
"New","Renewal","Verified","Kline & Kline PC-CPAs"
"New","Renewal","Verified","The Basketball Trainer"
"New","Renewal","Verified","C & L Tax & Accounting Service"
"New","Renewal","Verified","Angela's Accounting Service"
"New","Renewal","Verified","Kevin L. Halligan Attorney at Law"
"New","Renewal","Verified","Connie Shadrick Insurance"
"New","Renewal","Verified","Freedom Yard Drains"
"New","Renewal","Verified","WRR Defensive Driving & DUI Program"
"New","Renewal","Verified","Amina Financial Solutions Llc"
"New","Renewal","Verified","Big Sig's Military Surplus & Tactical Supply"
"New","Renewal","Verified","Marjorie Kline Tax Consultant"
"New","Renewal","Verified","Desert Lawn Memorial Park"
"New","Renewal","Verified","Exp Realty NWA Branch"
"New","Renewal","Put-Through","R & S Barbecue"
"New","Renewal","Verified","Transit Mix Concrete Company"
"New","Renewal","Verified","South Kentucky Pest Solutions"
"New","Renewal","Verified","Forrest Towing & Auto"
"New","Renewal","Verified","Alexander Funeral Home"
"New","Renewal","Verified","Davis Professional Services"
"New","Renewal","Put-Through","Take Me Back Cafe"
"New","Renewal","Verified","Enlisted Electric LLC"
"New","Renewal","Put-Through","Kossel's Television, Appliance & Service"
"New","Renewal","Verified","Bowes Tire & Auto"
"New","Renewal","Verified","Roger's Automotive"
"New","Renewal","Verified","Ramsey Concrete Finishing"
"New","Renewal","Verified","K C Automotive Inc."
"New","Renewal","Verified","JL Cleaning-Service"
"New","Renewal","Verified","Luttrell Well Drilling"
"New","Renewal","Verified","Mike's Insulation & Construction"
"New","Renewal","Put-Through","Musselwhite's Transmission Service"
"New","Renewal","Put-Through","Ted's Tile"
"New","Renewal","Verified","Mannford Little Pirates CDC Day-Care LLC"
"New","Renewal","Verified","AAA JANITORIAL AND CARPET CARE"
"New","Renewal","Verified","Drawer Connection"
"New","Renewal","Verified","Ward's Truck Repair"
"New","Renewal","Verified","John Pournaras Agency"
"New","Renewal","Verified","West State Mechanical Inc."
"New","Renewal","Verified","A R S Auto"
"New","Renewal","Verified","Claire H Corporation"
"New","Renewal","Verified","Village Paint and Body "
"New","Renewal","Verified","Archers Plumbing Heating & Cooling"
"New","Renewal","Verified","Good Faith Accounting"
"New","Renewal","Verified","Art's Muffler & Tire"
"New","Renewal","Verified","Julie Williams Insurance"
"New","Renewal","Verified","Clemons-Mccray Funeral Home"
"New","Renewal","Verified","Dennis George Automotive"
"New","Renewal","Verified","Warywoda Tax & Account Services"
"New","Renewal","Put-Through","Monroe County Professional Management"
"New","Renewal","Verified","Quality Stucco West"
"New","Renewal","Verified","White Rock Logging & Excavating"
"New","Renewal","Verified","Ministry Construction"
"New","Renewal","Verified","Debs Doing Taxes"
"New","Renewal","Verified","Duzzy's Roadside Service"
"New","Renewal","Put-Through","Able Companies"
"New","Renewal","Verified","Nenana Heating"
"New","Renewal","Put-Through","Poplar Dawgs"
"New","Renewal","Verified","Shen Vally Tax & Bookkeeping "
"New","Renewal","Verified","Stevenson Income Tax Ser"
"New","Renewal","Verified","Prestige Auto Collision"
"New","Renewal","Verified","A Home Elevator Inc."
"New","Renewal","Verified","Randy Belansky LLC CPA & Business Advisor"
"New","Renewal","Verified","AAA Elderly Housing"
"New","Renewal","Verified","Murphy Granite"
"New","Renewal","Put-Through","Smith Funeral Chapels"
"New","Renewal","Put-Through","Reality Tax Service"
"New","Renewal","Verified","D & LS Tax & Bookkeeping Services"
"New","Renewal","Verified","Gary Williams Martial Arts"
"New","Renewal","Verified","Vape Shop Mafia"
"New","Renewal","Verified","St Nicks Chimney Service"
"New","Renewal","Verified","Joes Automotive"
"New","Renewal","Verified","Happy Feet Early Learning & Child Center"
"New","Renewal","Verified","Carl Anderson Construction"
"New","Renewal","Verified","Carl Anderson Construction"
"New","Renewal","Verified","Praters Tailor Shop"
"New","Renewal","Verified","Jackson County Public Library"
"New","Renewal","Verified","Pauly's Premier Cleaning"
"New","Renewal","Verified","Lassen Library District"
"New","Renewal","Verified","Fogarty's House of Vapor"
"New","Renewal","Verified","Quanah Housing Authority"
"New","Renewal","Verified","J D Construction & Insulation"
"New","Renewal","Verified","John C Payne, Author"
"New","Renewal","Put-Through","State Farm - Steve Ray Agency"
"New","Renewal","Verified","Strength's Roofing"
"New","Renewal","Verified","Premier Tax And Accounting"
"New","Renewal","Verified","DQ Grill & Chill"
"New","Renewal","Verified","Hemphill Vinyl Siding & Metal Roofing"
"New","Renewal","Verified","Williams A-1 Cleaning"
"New","Renewal","Put-Through","Advent Plumbing"
"New","Renewal","Verified","Lois's Groom Room"
"New","Renewal","Put-Through","Nelson Tire Service"
"New","Renewal","Verified","Louie's Bicycles"
"New","Renewal","Verified","Colaluce Well & Pump Service"
"New","Renewal","Verified","D & D Heating & Cooling"
"New","Renewal","Verified","Time IV Fitness"
"New","Renewal","Verified","Serrano Construction"
"New","Renewal","Verified","Dent Scene"
"New","Renewal","Verified","Allen's Tires"
"New","Renewal","Put-Through","Travel E-C-T"
"New","Renewal","Put-Through","Deanna's Java Station"
"New","Renewal","Verified","Unique Tax Professionals"
"New","Renewal","Verified","Gourmet Garage"
"New","Renewal","Verified","Alisic Tax Preparation Services"
"New","Renewal","Verified","Vanex Tube Incorporated"
"New","Renewal","Verified","DD Tax Pros LLC"
"New","Renewal","Verified","Providence Towing & Recovery"
"New","Renewal","Verified","All Around Roofing & Gutters"
"New","Renewal","Verified","Hanlin Funeral Home"
"New","Renewal","Verified","Babylon Porn and Pipes "
"New","Renewal","Verified","Duncan's Auto Body Shop"
"New","Renewal","Verified","Potter Children's Home & Family Ministries"
"New","Renewal","Verified","Roadrunner Towing"
"New","Renewal","Verified","Enviro Mechanical Sales"
"New","Renewal","Verified","D & H Tax Service"
"New","Renewal","Verified","Personal Credit Queen Credit Repair"
"New","Renewal","Verified","Fremont Public Schools"
"New","Renewal","Put-Through","Rowland Tire Service"
"New","Renewal","Verified","Germantown Community Library"
"New","Renewal","Verified","G.W. Exterminating Company"
"New","Renewal","Verified","Preferred Custom Concrete"
"New","Renewal","Verified","Pawn Plus in Helenwood"
"New","Renewal","Verified","Junction Auto Service"
"New","Renewal","Put-Through","Goomba Johnny's pizzaria"
"New","Renewal","Verified","Go Blue Tax & Business Service"
"New","Renewal","Put-Through","Metro Trailer Rental & Sales"
"New","Renewal","Verified","Eastern Iowa Baking Co."
"New","Renewal","Verified","Kelly & Company Florist"
"New","Renewal","Verified","Backgrounds 360"
"New","Renewal","Verified","Premier Towing"
"New","Renewal","Verified","Fisher Early Childhood Development Center"
"New","Renewal","Verified","United Towing Service"
"New","Renewal","Verified","Farm Bureau Insurance of Currituck"
"New","Renewal","Put-Through","Kucharski Salvage"
"New","Renewal","Put-Through","Pro Books Bookkeeping"
"New","Renewal","Verified","Monumental Graphics & Signs"
"New","Renewal","Verified","Indian & Free Treatment & Prevention"
"New","Renewal","Verified","Myers Accounting Service"
"New","Renewal","Verified","Cleaning  Addictz Llc"
"New","Renewal","Verified","Jack's Taxidermy"
"New","Renewal","Verified","Pooh's Corner"
"New","Renewal","Verified","Lexington Pawn & Sales"
"New","Renewal","Verified","Bob Watkins Realty"
"New","Renewal","Verified","Henig Furs Incorporated"
"New","Renewal","Verified","Byers Well Drilling Inc"
"New","Renewal","Verified","Colin Car Care"
"New","Renewal","Verified","Veterans Towing"
"New","Renewal","Verified","Euclide Well Drilling Incorporated"
"New","Renewal","Verified","Rufino's Pizza"
"New","Renewal","Verified","Lindsey & Associates"
"New","Renewal","Verified","Wakeman Funeral Home"
"New","Renewal","Put-Through","Cyre-Leike Realtors"
"New","Renewal","Verified","Neffie's Children's Shoppe"
"New","Renewal","Verified","Dalton Funeral Home"
"New","Renewal","Verified","Chico's Used Tires"
"New","Renewal","Verified","McHenry 24-Hour Towing"
"New","Renewal","Verified","Park Trailer Wash"
"New","Renewal","Put-Through","Donald J Butler Funeral Home"
"New","Renewal","Verified","Jason's Auto Service"
"New","Renewal","Put-Through","Fairmount Building Supply"
"New","Renewal","Verified","Starr Parts & Equipment"
"New","Renewal","Verified","Professional Contractors Inc & Majestic Appraisals"
"New","Renewal","Verified","Lima Fire Equipment Company"
"New","Renewal","Verified","Grove Drywall"
"New","Renewal","Verified","Raco Distributing Incorporated"
"New","Renewal","Verified","Sme Income Tax Service"
"New","Renewal","Verified","Shampooches pet salon"
"New","Renewal","Put-Through","Los Gueros Landscaping LLC"
"New","Renewal","Put-Through","Stokes Construction LLC"
"New","Renewal","Verified","Northland Auto Center"
"New","Renewal","Verified","Jarrett Bolfer Insurance Agency"
"New","Renewal","Verified","Physique Physical Therapy/Personal Training"
"New","Renewal","Verified","Ultimate Automotive"
"New","Renewal","Verified","Rebecca Kemp Tax & Accounting"
"New","Renewal","Verified","True Man's Tree Service"
"New","Renewal","Verified","Got Your Six Construction"
"New","Renewal","Verified","Scott's Funeral Home"
"New","Renewal","Verified","Cyclone Plumbing"
"New","Renewal","Verified","Faith & Family Care"
"New","Renewal","Verified","Snow Tax Services"
"New","Renewal","Verified","Griffin Construction & Roofing"
"New","Renewal","Verified","Attention to Details"
"New","Renewal","Verified","Central Piers Incorporated"
"New","Renewal","Verified","Hunter-Odom Funeral Service"
"New","Renewal","Verified","Allen's Tree Service"
"New","Renewal","Put-Through","JTS Financial Solutions"
"New","Renewal","Verified","Wilson Hearing Aids & Service"
"New","Renewal","Verified","New Dimension Pool & Spa Installation & Maintenance"
"New","Renewal","Verified","Twain Store & RV Park & Skyline Home Improvements"
"New","Renewal","Verified","R & R Vapes"
"New","Renewal","Verified","Roy Unlimited"
"New","Renewal","Put-Through","Kiddie Academy of Gainsville"
"New","Renewal","Verified","GeoWall Designs LLC"
"New","Renewal","Put-Through","Providence Automotive"
"New","Renewal","Verified","Coastal Glass & Mirror LLC"
"New","Renewal","Verified","John Craig's Bookkeeping & Tax Preparation"
"New","Renewal","Verified","Simmesport City Hall"
"New","Renewal","Verified","Hickory Grove Auto"
"New","Renewal","Verified","Southeastern Stone Yard Llc"
"New","Renewal","Verified","B J's Automotive"
"New","Renewal","Verified","Four seasons Cleaners & Home Inspectors"
"New","Renewal","Put-Through","Dan Dimond Equipment Company"
"New","Renewal","Put-Through","Upscale Mail"
"New","Renewal","Verified","Carnegie Precast Incorporated"
"New","Renewal","Verified","Kuzma Success Realty"
"New","Renewal","Verified","Elite Collision"
"New","Renewal","Verified","J & J Pest Control"
"New","Renewal","Verified","La Paloma Small Animal Hospital"
"New","Renewal","Verified","Tax Pro 24 Hour Refund"
"New","Renewal","Verified","Midtown Tax & Bookkeeping Co"
"New","Renewal","Verified","WHJ Tax Service"
"New","Renewal","Verified","Fluid Power Products"
"New","Renewal","Verified","Capital Accounting"
"New","Renewal","Verified","Mini Miracles Learning Center"
"New","Renewal","Verified","Max Painting"
"New","Renewal","Verified","Longhouse Funeral Home"
"New","Renewal","Verified","Import Automotive"
"New","Renewal","Verified","Maher Water Corporation"
"New","Renewal","Verified","Joel Truitt Builders & Joel Truitt Managenent"
"New","Renewal","Put-Through","southern suspended ceilings"
"New","Renewal","Verified","Bubba's Truck and Equipment Repairs"
"New","Renewal","Verified","Weichert Realtors"
"New","Renewal","Verified","Alan Clark Body Shop"
"New","Renewal","Verified","Alan Clark Body Shop"
"New","Renewal","Verified","Mayo Construction"
"New","Renewal","Put-Through","Wissman Window & Door"
"New","Renewal","Verified","Distinctive Exteriors Incorporated"
"New","Renewal","Put-Through","St Johns Hops & Wars to Farmers"
"New","Renewal","Verified","RST Timber Works Inc"
"New","Renewal","Verified","City Paint & Body"
"New","Renewal","Verified","Robinson Funeral Home"
"New","Renewal","Verified","Amber Inn"
"New","Renewal","Verified","Sunrise Bistro"
"New","Renewal","Verified","Esther's Montessori Center"
"New","Renewal","Verified","S & P Auto Sales LLC"
"New","Renewal","Put-Through","All Dunn Plumbing"
"New","Renewal","Put-Through","Groomingdales"
"New","Renewal","Verified","Spot Check Carpet & Tile Cleaning"
"New","Renewal","Verified","Diverse Tax Service LLC"
"New","Renewal","Verified","Teresa's Tree Of Knowledge"
"New","Renewal","Verified","Law Offices of Joseph Baldacci"
"New","Renewal","Verified","Talbert Lawn Services Llc"
"New","Renewal","Verified","Humboldt Grooming Palace"
"New","Renewal","Verified","Bills Towing & Recovery"
"New","Renewal","Verified","Quality Glass & Aluminum"
"New","Renewal","Verified","Rankin & Rankin Tax Services"
"New","Renewal","Verified","A Wright Tax & Accounting Services"
"New","Renewal","Verified","Muzzarelli Farms"
"New","Renewal","Verified","Pirtek Midway in St. Paul"
"New","Renewal","Verified","Countryside builders LLC"
"New","Renewal","Verified","TDI Repair & Towing"
"New","Renewal","Verified","Coastal Craftsmen LLC"
"New","Renewal","Verified","Kinderhook Beverage"
"New","Renewal","Put-Through","Home Cafe"
"New","Renewal","Verified","Adams & Sons Construction"
"New","Renewal","Verified","Reality Carpet"
"New","Renewal","Verified","Jenkins Floors and Moore "
"New","Renewal","Verified","Not Cho Cheesecake"
"New","Renewal","Verified","Tri-City Termite & Pest Control"
"New","Renewal","Put-Through","Wise Auto Repair"
"New","Renewal","Verified","Fred Miller Upholstery"
"New","Renewal","Put-Through","Davitt Electric"
"New","Renewal","Verified","Conchita's Panaderia"
"New","Renewal","Verified","Bennes Accounting & Tax Service"
"New","Renewal","Verified","Windmill Storage & Business Park"
"New","Renewal","Verified","Payless Design Center"
"New","Renewal","Verified","Rimo's Automotive"
"New","Renewal","Verified","Waynedale Grooming Salon"
"New","Renewal","Verified","Navy Veteran James Lucas"
"New","Renewal","Put-Through","Lombardo Automotive Center"
"New","Renewal","Put-Through","Premier Tax LLC"
"New","Renewal","Verified","Zetah Construction Incorporated"
"New","Renewal","Verified","Precision Glass"
"New","Renewal","Verified","Spring Garden Restaurant"
"New","Renewal","Verified","Wildside Pools & Waterfalls"
"New","Renewal","Verified","Make It Count Bookkeeping Services"
"New","Renewal","Verified","Power Rooter and Drains"
"New","Renewal","Verified","Juanita's Apple Juice Kids"
"New","Renewal","Verified","Millers Funeral Service"
"New","Renewal","Verified","Clean Green"
"New","Renewal","Verified","Eastlake Electric"
"New","Renewal","Verified","Winn's Automotive"
"New","Renewal","Verified","Blueline Seamless Rain Gutters"
"New","Renewal","Verified","Tutwiler Community Education Center"
"New","Renewal","Verified","Reba Cook Insurance"
"New","Renewal","Verified","Cooper Refrigeration"
"New","Renewal","Verified","Big Buck Construction"
"New","Renewal","Put-Through","Whiteheads Florist"
"New","Renewal","Verified","Smith Income Tax"
"New","Renewal","Verified","Elite Flagging"
"New","Renewal","Verified","Seville Care Center"
"New","Renewal","Verified","J Dog Junk Removal & Hauling Services"
"New","Renewal","Verified","Alan Clark Body Shop"
"New","Renewal","Put-Through","Heritage Accounting & Tax Services Inc"
"New","Renewal","Verified","Dt1 Tax & Consultants"
"New","Renewal","Put-Through","Longhorn Bar & Grill"
"New","Renewal","Verified","Longhorn Bar & Grill"
"New","Renewal","Verified","Longhorn Bar & Grill"
"New","Renewal","Verified","Longhorn Bar & Grill"
"New","Renewal","Verified","Todd's Garage Incorporated"
"New","Renewal","Verified","Imler's Kitchen, Bath & Carpet Center"
"New","Renewal","Verified","Fleming's Wrecker Service"
"New","Renewal","Verified","H & N Trucking & Hauling"
"New","Renewal","Put-Through","The Lighting Gallery"
"New","Renewal","Put-Through","Mr Fixit"
"New","Renewal","Verified","Bryant's Handyman Services"
"New","Renewal","Verified","Americus Tax Service"
"New","Renewal","Verified","B Ramirez Roofing"
"New","Renewal","Verified","Rix Audio Video & Appliance"
"New","Renewal","Verified","Brooms On The Go"
"New","Renewal","Verified","Advanced Air Systems"
"New","Renewal","Verified","Roger's Automotive & Repair"
"New","Renewal","Verified","Angell Accounting Associates"
"New","Renewal","Verified","S&N Transmission & Diesel Performance"
"New","Renewal","Verified","A S A P Auto Glass & Detailing"
"New","Renewal","Verified","Marshfield Muffler & Auto Repair"
"New","Renewal","Verified","D&A Tax Service"
"New","Renewal","Verified","Cash Back Mobile Tax Service"
"New","Renewal","Verified","Serviss Rail and Fab, LLC"
"New","Renewal","Verified","Fountain Automotive LLC"
"New","Renewal","Verified","Star Cleaners LLC"
"New","Renewal","Put-Through","Law Office of C G Spencer"
"New","Renewal","Verified","Thorson Trucking"
"New","Renewal","Verified","Sunset Storage"
"New","Renewal","Verified","Green's Plumbing Modern Heating"
"New","Renewal","Verified","Waldrop Record Service Body Shop"
"New","Renewal","Verified","Lakewood Motor Company"
"New","Renewal","Put-Through","Johnson's Family Tax Services"
"New","Renewal","Verified","Lake Nepessing Golfland"
"New","Renewal","Put-Through","Doster's Lawn & Landscaping"
"New","Renewal","Verified","Diesel Dr Diagnostics"
"New","Renewal","Verified","Elliott Electric Supply"
"New","Renewal","Verified","M D Auto Clinic"
"New","Renewal","Verified","C & C Cabinets Inc"
"New","Renewal","Verified","Blue Bicycle Health & Fitness"
"New","Renewal","Verified","Doris Davis, C.P.A."
"New","Renewal","Verified","C & S Tax Consultants Llc"
"New","Renewal","Put-Through","Quality Auto Rebuilders Inc"
"New","Renewal","Put-Through","Electric City Tax & Bookkeeping "
"New","Renewal","Verified","Calkins Insurance Agency"
"New","Renewal","Verified","Plumbing West"
"New","Renewal","Verified","Belfor Property Restoration"
"New","Renewal","Verified","State Farm Insurance Agent Ted Morales"
"New","Renewal","Verified","South Alabama Plumbing & Elec"
"New","Renewal","Verified","SPI Maintenance"
"New","Renewal","Verified","Stetner Electric"
"New","Renewal","Verified","Peach State Flooring"
"New","Renewal","Verified","Todd Davis Drywall"
"New","Renewal","Verified","Smart Property Inspectors"
"New","Renewal","Verified","Children's World CDC"
"New","Renewal","Verified","Hastings Body Shop"
"New","Renewal","Verified","Kids Planet II"
"New","Renewal","Verified","Sin City Wheels & Tires"
"New","Renewal","Verified","Topps Western World"
"New","Renewal","Verified","Mary's Country Grove Restaurant"
