name,address,lat,long,description,State,Market City,Frequency,Format,Tower,Slogan,Avails,Spot Rate,Transmitter Location,unnamed (1),Location
KSEV,"5CV4+54W The Woodlands, Texas",30.1929875,-95.5946719,"State: TX<br>Market City: Tomball<br>Frequency: 700 AM<br>Format: Talk<br>Tower: 5CV4+54W The Woodlands, Texas<br>Slogan: ""The Voice of Texas""<br>Avails: M-F 6A-7P<br>Spot Rate: $22 ",<value>TX</value>,<value>Tomball</value>,<value>700 AM</value>,<value>Talk</value>,"<value>5CV4+54W The Woodlands, Texas</value>","<value>""The Voice of Texas""</value>",<value>M-F 6A-7P</value>,<value>$22 </value>,,,
KSEY,"HPWC+RG8 Seymour, Texas",33.5970375,-99.2786719,"State: TX<br>Market City: Seymour/Witchita Falls<br>Frequency: 1230 AM<br>Format: Sports<br>Tower: HPWC+RG8 Seymour, Texas<br>Slogan: ""ESPN 1230""<br>Avails: 6am - 7pm <br>Spot Rate: $5 ",<value>TX</value>,<value>Seymour/Witchita Falls</value>,<value>1230 AM</value>,<value>Sports</value>,"<value>HPWC+RG8 Seymour, Texas</value>","<value>""ESPN 1230""</value>",<value>6am - 7pm </value>,<value>$5 </value>,,,
KSEY,"HPWC+RG8 Seymour, Texas",33.5970375,-99.2786719,"State: TX<br>Market City: Seymour/Witchita Falls<br>Frequency: 94.3 FM<br>Format: Country<br>Tower: HPWC+RG8 Seymour, Texas<br>Slogan: ""A Country Tradition""<br>Avails: 6am - 7pm <br>Spot Rate: $5 ",<value>TX</value>,<value>Seymour/Witchita Falls</value>,<value>94.3 FM</value>,<value>Country</value>,"<value>HPWC+RG8 Seymour, Texas</value>","<value>""A Country Tradition""</value>",<value>6am - 7pm </value>,<value>$5 </value>,,,
KSTH,"HMHH+QWC Holyoke, Colorado",40.5794375,-102.3202344,"State: CO<br>Market City: Holyoke<br>Frequency: 92.3 FM<br>Format: Adult Contemporary<br>Tower: HMHH+QWC Holyoke, Colorado<br>Slogan: ""Star 92.3""<br>Avails: 6A-7P, 4/hr<br>Spot Rate: $7 ",<value>CO</value>,<value>Holyoke</value>,<value>92.3 FM</value>,<value>Adult Contemporary</value>,"<value>HMHH+QWC Holyoke, Colorado</value>","<value>""Star 92.3""</value>","<value>6A-7P, 4/hr</value>",<value>$7 </value>,,,
KTXO-FM,"V88V+WRP West Odessa, Texas",31.8673375,-102.6554219,"State: TX<br>Market City: Goldsmith<br>Frequency: 94.7<br>Format: Classic Country<br>Tower: V88V+WRP West Odessa, Texas<br>Slogan: ""Kickin' Country""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $15 ",<value>TX</value>,<value>Goldsmith</value>,<value>94.7</value>,<value>Classic Country</value>,"<value>V88V+WRP West Odessa, Texas</value>","<value>""Kickin' Country""</value>",<value>6A-7P 2/HR.</value>,<value>$15 </value>,,,
KVOL-KLCJ,"6WRR+JGJ Lafayette, Louisiana",30.2415875,-92.0587344,"State: LA<br>Market City: Lafayette<br>Frequency: 1330, 99.7, <br>104.1 (KLCJ)<br>Format: Oldies<br>Tower: 6WRR+JGJ Lafayette, Louisiana<br>Slogan: ""97.7 MeTV FM"" ""The Game 104.1""<br>Avails: 6A-7P<br>Spot Rate: $15 ",<value>LA</value>,<value>Lafayette</value>,"<value>1330, 99.7, 
104.1 (KLCJ)</value>",<value>Oldies</value>,"<value>6WRR+JGJ Lafayette, Louisiana</value>","<value>""97.7 MeTV FM"" ""The Game 104.1""</value>",<value>6A-7P</value>,<value>$15 </value>,,,
KWDF,"9GHG+57P Alexandria, Louisiana",31.3779625,-92.4742969,"State: LA<br>Market City: Alexandria<br>Frequency: 99.7 FM<br>840 AM<br>Format: Religious<br>Tower: 9GHG+57P Alexandria, Louisiana<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30 ",<value>LA</value>,<value>Alexandria</value>,"<value>99.7 FM
840 AM</value>",<value>Religious</value>,"<value>9GHG+57P Alexandria, Louisiana</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30 </value>,,,
KXEZ (NO Ams!!),"7JGJ+9FC Blue Ridge, Texas",33.2759375,-96.3688594,"State: TX<br>Market City: Dallas<br>Frequency: 92.1 FM<br>Format: Country<br>Tower: 7JGJ+9FC Blue Ridge, Texas<br>Slogan: ""The Possum 92.1""<br>Avails: 7P - 12A<br>Spot Rate: $18.75 ",<value>TX</value>,<value>Dallas</value>,<value>92.1 FM</value>,<value>Country</value>,"<value>7JGJ+9FC Blue Ridge, Texas</value>","<value>""The Possum 92.1""</value>",<value>7P - 12A</value>,<value>$18.75 </value>,,,
KXKS,"3924+FM6 Albuquerque, New Mexico",35.0511625,-106.6433594,"State: NM<br>Market City: Albuquerque<br>Frequency: 1190 AM<br>Format: Talk<br>Tower: 3924+FM6 Albuquerque, New Mexico<br>Slogan: ""The Answer""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30 ",<value>NM</value>,<value>Albuquerque</value>,<value>1190 AM</value>,<value>Talk</value>,"<value>3924+FM6 Albuquerque, New Mexico</value>","<value>""The Answer""</value>",<value>6A-7P 2/HR.</value>,<value>$30 </value>,,,
KXRQ,"G7CR+8W9 Maeser, Utah",40.5207875,-109.7076406,"State: UT<br>Market City: Roosevelt/Vernal<br>Frequency: 94.3 FM<br>Format: Top-40<br>Tower: G7CR+8W9 Maeser, Utah<br>Slogan: ""The Basin's #1 Hit Music Station""<br>Avails: 6A-7P 2/HR<br>Spot Rate: $20 ",<value>UT</value>,<value>Roosevelt/Vernal</value>,<value>94.3 FM</value>,<value>Top-40</value>,"<value>G7CR+8W9 Maeser, Utah</value>","<value>""The Basin's #1 Hit Music Station""</value>",<value>6A-7P 2/HR</value>,<value>$20 </value>,,,
KZHE,"FPGG+FPR Willisville, Arkansas",33.4762375,-93.2732344,"State: AR<br>Market City: Magnolia<br>Frequency: 100.5 FM<br>Format: Country<br>Tower: FPGG+FPR Willisville, Arkansas<br>Slogan: ""Classic Hit Country""<br>Avails: 6am - 7pm<br>Spot Rate: $6 ",<value>AR</value>,<value>Magnolia</value>,<value>100.5 FM</value>,<value>Country</value>,"<value>FPGG+FPR Willisville, Arkansas</value>","<value>""Classic Hit Country""</value>",<value>6am - 7pm</value>,<value>$6 </value>,,,
KZLG,"22W4+V32 Moreauville, Louisiana",31.0471375,-91.9948594,"State: LA<br>Market City: Moreauville<br>Frequency: 95.9 FM<br>Format: Adult Contemporary<br>Tower: 22W4+V32 Moreauville, Louisiana<br>Slogan: ""Z 95.9""<br>Avails: 6am - 7pm<br>Spot Rate: $6 ",<value>LA</value>,<value>Moreauville</value>,<value>95.9 FM</value>,<value>Adult Contemporary</value>,"<value>22W4+V32 Moreauville, Louisiana</value>","<value>""Z 95.9""</value>",<value>6am - 7pm</value>,<value>$6 </value>,,,
KZND,"8FPP+C4V Eagle River, Anchorage, AK",61.3361125,-149.5147031,"State: AK<br>Market City: Houston<br>Frequency: 94.7<br>Format: Alternative<br>Tower: 8FPP+C4V Eagle River, Anchorage, AK<br>Slogan: ""94.7 Alternative Anchorage""<br>Avails:   6A-7P 2/hr ROS $25<br>Spot Rate:  8a-9a: $30",<value>AK</value>,<value>Houston</value>,<value>94.7</value>,<value>Alternative</value>,"<value>8FPP+C4V Eagle River, Anchorage, AK</value>","<value>""94.7 Alternative Anchorage""</value>",<value>  6A-7P 2/hr ROS $25</value>,<value> 8a-9a: $30</value>,,,
W292DE(WBHU),"VM29+6X7 St Augustine South, Florida",29.8505375,-81.3300781,"State: FL<br>Market City: Saint Augustine Beach<br>Frequency: 106.3<br>Format: Country<br>Tower: VM29+6X7 St Augustine South, Florida<br>Slogan: ""Beach 105.5""<br>Avails: 6A-8P 2/HR<br>Spot Rate: $30 ",<value>FL</value>,<value>Saint Augustine Beach</value>,<value>106.3</value>,<value>Country</value>,"<value>VM29+6X7 St Augustine South, Florida</value>","<value>""Beach 105.5""</value>",<value>6A-8P 2/HR</value>,<value>$30 </value>,,,
WASG-AM,"PWW4+C84 Prichard, Alabama",30.7460125,-88.0941719,"State: AL<br>Market City: Mobile<br>Frequency: 106.1 FM<br>540 AM<br>Format: Religious<br>Tower: PWW4+C84 Prichard, Alabama<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30 ",<value>AL</value>,<value>Mobile</value>,"<value>106.1 FM
540 AM</value>",<value>Religious</value>,"<value>PWW4+C84 Prichard, Alabama</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30 </value>,,,
WATT,"6HFX+MXG Cadillac, Michigan",44.2241875,-85.4000469,"State: MI<br>Market City: Cadillac<br>Frequency: 106.1 FM<br>1240 AM<br>Format: News Talk - Conservative<br>Tower: 6HFX+MXG Cadillac, Michigan<br>Slogan: ""News Talk 1240""<br>Avails: M-F 6A-7P<br>Spot Rate: $30 ",<value>MI</value>,<value>Cadillac</value>,"<value>106.1 FM
1240 AM</value>",<value>News Talk - Conservative</value>,"<value>6HFX+MXG Cadillac, Michigan</value>","<value>""News Talk 1240""</value>",<value>M-F 6A-7P</value>,<value>$30 </value>,,,
WBHU,"VM29+6X7 St Augustine South, Florida",29.8505375,-81.3300781,"State: FL<br>Market City: Saint Augustine Beach<br>Frequency: 105.5<br>Format: Adult Hits<br>Tower: VM29+6X7 St Augustine South, Florida<br>Slogan: ""Beach 105.5""<br>Avails: 6A-8P 2/HR<br>Spot Rate: $30 ",<value>FL</value>,<value>Saint Augustine Beach</value>,<value>105.5</value>,<value>Adult Hits</value>,"<value>VM29+6X7 St Augustine South, Florida</value>","<value>""Beach 105.5""</value>",<value>6A-8P 2/HR</value>,<value>$30 </value>,,,
WBKY,"RW2W+66F Newville, Wisconsin",42.8005625,-89.0544531,"State: WI<br>Market City: Portage<br>Frequency: 95.9 FM<br>Format: CALL PRIOR<br>Transmitter Location: RW2W+66F Newville, Wisconsin<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>WI</value>,<value>Portage</value>,<value>95.9 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>RW2W+66F Newville, Wisconsin</value>",,
WDDC,"GHH8+8GC Portage, Wisconsin",43.5283125,-89.4337344,"State: WI<br>Market City: Portage<br>Frequency: 100.1 FM<br>Format: CALL PRIOR<br>Transmitter Location: GHH8+8GC Portage, Wisconsin<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>WI</value>,<value>Portage</value>,<value>100.1 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>GHH8+8GC Portage, Wisconsin</value>",,
WDLS,"J7QH+6CC Wisconsin Dells, Wisconsin",43.6380625,-89.7214844,"State: WI<br>Market City: Wisconsin Dells<br>Frequency: 900 AM<br>Format: CALL PRIOR<br>Transmitter Location: J7QH+6CC Wisconsin Dells, Wisconsin<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>WI</value>,<value>Wisconsin Dells</value>,<value>900 AM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>J7QH+6CC Wisconsin Dells, Wisconsin</value>",,
WDUX,"9W3R+PG9 Waupaca, Wisconsin",44.3542875,-89.0586406,"State: WI<br>Market City: Waupaca<br>Frequency: 92.7<br>Format: CALL PRIOR<br>Transmitter Location: 9W3R+PG9 Waupaca, Wisconsin<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>WI</value>,<value>Waupaca</value>,<value>92.7</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>9W3R+PG9 Waupaca, Wisconsin</value>",,
WNFM,"HXRQ+V7P Reedsburg, Wisconsin",43.5922125,-90.0117969,"State: WI<br>Market City: Reedsburg<br>Frequency: 104.9 FM<br>Format: CALL PRIOR<br>Transmitter Location: HXRQ+V7P Reedsburg, Wisconsin<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>WI</value>,<value>Reedsburg</value>,<value>104.9 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>HXRQ+V7P Reedsburg, Wisconsin</value>",,
WNNO,"J7QH+6CC Wisconsin Dells, Wisconsin",43.6380625,-89.7214844,"State: WI<br>Market City: Wisconsin Dells<br>Frequency: 106.9 FM<br>Format: CALL PRIOR<br>Transmitter Location: J7QH+6CC Wisconsin Dells, Wisconsin<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>WI</value>,<value>Wisconsin Dells</value>,<value>106.9 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>J7QH+6CC Wisconsin Dells, Wisconsin</value>",,
WRDB,"GXR8+M32 Reedsburg, Wisconsin",43.5416375,-90.0348594,"State: WI<br>Market City: Reedsburg<br>Frequency: 1400 AM<br>Format: CALL PRIOR<br>Transmitter Location: GXR8+M32 Reedsburg, Wisconsin<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>WI</value>,<value>Reedsburg</value>,<value>1400 AM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>GXR8+M32 Reedsburg, Wisconsin</value>",,
WRJO,"5J8M+8J6 Land O' Lakes, Wisconsin",46.1657875,-89.3659844,"State: WI<br>Market City: Eagle River<br>Frequency: 94.5 FM<br>Format: CALL PRIOR<br>Transmitter Location: 5J8M+8J6 Land O' Lakes, Wisconsin<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>WI</value>,<value>Eagle River</value>,<value>94.5 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>5J8M+8J6 Land O' Lakes, Wisconsin</value>",,
WHZT,"M2Q7+27M Seneca, South Carolina",34.6875875,-82.9868281,"State: SC<br>Market City: Williamston<br>Frequency: 98.1 FM<br>Format: CALL PRIOR<br>Transmitter Location: M2Q7+27M Seneca, South Carolina<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>SC</value>,<value>Williamston</value>,<value>98.1 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>M2Q7+27M Seneca, South Carolina</value>",,
KSTN,"WQG3+59R Kennedy, California",37.9254875,-121.2466094,"State: CA<br>Market City: Stockton<br>Frequency: 1420 AM<br>Format: Country<br>Transmitter Location: WQG3+59R Kennedy, California<br>Slogan: ""105.9 The Bull""<br>Avails: 6A to 7P 2 Spots/hr<br>Spot Rate: $42.00 ",<value>CA</value>,<value>Stockton</value>,<value>1420 AM</value>,<value>Country</value>,,"<value>""105.9 The Bull""</value>",<value>6A to 7P 2 Spots/hr</value>,<value>$42.00 </value>,"<value>WQG3+59R Kennedy, California</value>",,
WXRY,"2X38+97X Columbia, South Carolina",34.0034875,-81.0342656,"State: SC<br>Market City: Columbia<br>Frequency: 99.3<br>Format: CALL PRIOR<br>Transmitter Location: 2X38+97X Columbia, South Carolina<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>SC</value>,<value>Columbia</value>,<value>99.3</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>2X38+97X Columbia, South Carolina</value>",,
KCBL,"Q677+J9W Fresno, California",36.7641125,-119.7865469,"State: CA<br>Market City: Fresno<br>Frequency: 1340<br>Format: CALL PRIOR<br>Transmitter Location: Q677+J9W Fresno, California<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>CA</value>,<value>Fresno</value>,<value>1340</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>Q677+J9W Fresno, California</value>",,
KCBQ,"V3WF+2G9 Lakeside, California",32.8950375,-116.9261406,"State: CA<br>Market City: San Diego<br>Frequency: 1170<br>Format: Talk<br>Transmitter Location: V3WF+2G9 Lakeside, California<br>Slogan: ""1170 The Answer""<br>Avails: 6A to 7P 2 Spots/hr<br>Spot Rate: $35.00 ",<value>CA</value>,<value>San Diego</value>,<value>1170</value>,<value>Talk</value>,,"<value>""1170 The Answer""</value>",<value>6A to 7P 2 Spots/hr</value>,<value>$35.00 </value>,"<value>V3WF+2G9 Lakeside, California</value>",,
KCBQ-K241CT,"4Q6X+F39 San Marcos, California",33.1111625,-117.2022656,"State: CA<br>Market City: Ocean Side<br>Frequency: 96.1<br>Format: Talk<br>Transmitter Location: 4Q6X+F39 San Marcos, California<br>Slogan: ""1170 The Answer""<br>Avails: 6A to 7P 2 Spots/hr<br>Spot Rate: $35.00 ",<value>CA</value>,<value>Ocean Side</value>,<value>96.1</value>,<value>Talk</value>,,"<value>""1170 The Answer""</value>",<value>6A to 7P 2 Spots/hr</value>,<value>$35.00 </value>,"<value>4Q6X+F39 San Marcos, California</value>",,
WWCN,"F3QC+775 Iona, Florida",26.4881375,-81.9292656,"State: FL<br>Market City: Ft. Myers & Naples<br>Frequency: 99.3<br>Format: CALL PRIOR<br>Transmitter Location: F3QC+775 Iona, Florida<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>FL</value>,<value>Ft. Myers &amp; Naples</value>,<value>99.3</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>F3QC+775 Iona, Florida</value>",,
WENG,"XMCG+FP9 Englewood Farms, North Port, FL",26.9711625,-82.3231406,"State: FL<br>Market City: Englewood<br>Frequency: 1530 AM<br>Format: CALL PRIOR<br>Transmitter Location: XMCG+FP9 Englewood Farms, North Port, FL<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>FL</value>,<value>Englewood</value>,<value>1530 AM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>XMCG+FP9 Englewood Farms, North Port, FL</value>",,
WCXS,"64HR+HXF Arcadia, Florida",27.2289375,-81.8575781,"State: FL<br>Market City: Englewood<br>Frequency: 1480 AM<br>Format: CALL PRIOR<br>Transmitter Location: 64HR+HXF Arcadia, Florida<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>FL</value>,<value>Englewood</value>,<value>1480 AM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>64HR+HXF Arcadia, Florida</value>",,
WCRL,"XG3H+R47 Oneonta, Alabama",33.9545375,-86.4722031,"State: AL<br>Market City: Oneonta<br>Frequency: 95.3 FM<br>Format: CALL PRIOR<br>Transmitter Location: XG3H+R47 Oneonta, Alabama<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>AL</value>,<value>Oneonta</value>,<value>95.3 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>XG3H+R47 Oneonta, Alabama</value>",,
WYGM,"F8JQ+M86 Horizon West, Florida",28.4816625,-81.6617344,"State: FL<br>Market City: Orlando<br>Frequency: 740 AM<br>Format: CALL PRIOR<br>Transmitter Location: F8JQ+M86 Horizon West, Florida<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>FL</value>,<value>Orlando</value>,<value>740 AM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>F8JQ+M86 Horizon West, Florida</value>",,
KRDO,"R5H6+C6W Colorado Springs, Colorado",38.8286125,-104.8394219,"State: CO<br>Market City: Colorado Springs<br>Frequency: 1240 AM<br>Format: CALL PRIOR<br>Transmitter Location: R5H6+C6W Colorado Springs, Colorado<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>CO</value>,<value>Colorado Springs</value>,<value>1240 AM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>R5H6+C6W Colorado Springs, Colorado</value>",,
KIOD,"55RR+8JJ Culbertson, Nebraska",40.1908375,-100.8084844,"State: NE<br>Market City: McCook<br>Frequency: 105.3 FM<br>Format: CALL PRIOR<br>Transmitter Location: 55RR+8JJ Culbertson, Nebraska<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>NE</value>,<value>McCook</value>,<value>105.3 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>55RR+8JJ Culbertson, Nebraska</value>",,
WUPF,"PM63+85F Harris, Michigan",45.7108125,-87.3470781,"State: MI<br>Market City: Escabana<br>Frequency: 107.3 FM<br>Format: CALL PRIOR<br>Transmitter Location: PM63+85F Harris, Michigan<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: $16.00",<value>MI</value>,<value>Escabana</value>,<value>107.3 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value>$16.00</value>,"<value>PM63+85F Harris, Michigan</value>",,
KDCQ,"9Q34+J95 Coos Bay, Oregon",43.3540125,-124.2440156,"State: OR<br>Market City: Coos Bay<br>Frequency: 93.5<br>Format: CALL PRIOR<br>Transmitter Location: 9Q34+J95 Coos Bay, Oregon<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>OR</value>,<value>Coos Bay</value>,<value>93.5</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>9Q34+J95 Coos Bay, Oregon</value>",,
WVNW,"H8P4+F8G Belleville, Pennsylvania",40.5861875,-77.6941719,"State: PA<br>Market City: Burnham<br>Frequency: 96.7<br>Format: CALL PRIOR<br>Transmitter Location: H8P4+F8G Belleville, Pennsylvania<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>PA</value>,<value>Burnham</value>,<value>96.7</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>H8P4+F8G Belleville, Pennsylvania</value>",,
KBLQ,"V5CR+J6Q Smithfield, Utah",41.8715875,-111.8093906,"State: UT<br>Market City: Logan<br>Frequency: 92.9<br>Format: CALL PRIOR<br>Transmitter Location: V5CR+J6Q Smithfield, Utah<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>UT</value>,<value>Logan</value>,<value>92.9</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>V5CR+J6Q Smithfield, Utah</value>",,
KWIQ,"4Q25+WGX Moses Lake, Washington",47.1023625,-119.2411406,"State: WA<br>Market City: Moses Lake<br>Frequency: 100.5 FM<br>Format: CALL PRIOR<br>Transmitter Location: 4Q25+WGX Moses Lake, Washington<br>Slogan: CALL PRIOR<br>Avails: CALL PRIOR<br>Spot Rate: ",<value>WA</value>,<value>Moses Lake</value>,<value>100.5 FM</value>,<value>CALL PRIOR</value>,,<value>CALL PRIOR</value>,<value>CALL PRIOR</value>,<value/>,"<value>4Q25+WGX Moses Lake, Washington</value>",,
WUPN,"F78J+C62 Dollar Settlement, Michigan",46.4660125,-84.7194844,"State: MI<br>Market City: Paradise<br>Frequency: 95.1<br>Format: Classic Hits<br>Transmitter Location: F78J+C62 Dollar Settlement, Michigan<br>Slogan: Eagle 95.1<br>Avails: 6A to 7P 2 Spots/hr<br>Spot Rate: $10.00 ",<value>MI</value>,<value>Paradise</value>,<value>95.1</value>,<value>Classic Hits</value>,,<value>Eagle 95.1</value>,<value>6A to 7P 2 Spots/hr</value>,<value>$10.00 </value>,"<value>F78J+C62 Dollar Settlement, Michigan</value>",,
KKGR,"East Helena, MT",46.5896567,-111.9155461,"Frequency: 680��AM<br>Location: East Helena, MT<br>unnamed (1): <br>Format: Classic ",,,<value>680��AM</va,<value>Classic Hits</value>,,,,,,<value/>,"<value>East Helena, MT</value>"
WCSR,"Hillsdale, MI",41.9200472,-84.6305101,"Frequency: 1340��AM<br>Location: Hillsdale, MI<br>unnamed (1): <br>Format: Cou",,,<value>1340��AM</va,<value>Country</value>,,,,,,<value/>,"<value>Hillsdale, MI</value>"
KEPN,"Lakewood, CO",39.7047095,-105.0813734,"Frequency: 1600 AM<br>Location: Lakewood, CO<br>unnamed (1): <br>Format: Sports",,,<value>1600 AM</value>,<value>Sports</value>,,,,,,<value/>,"<value>Lakewood, CO</value>"
KOFX,"El Paso, TX",31.7618778,-106.4850217,"Frequency: 92.3 FM<br>Location: El Paso, TX<br>unnamed (1): <br>Format: Classic Hits",,,<value>92.3 FM</value>,<value>Classic Hits</value>,,,,,,<value/>,"<value>El Paso, TX</value>"
KLFX,"Litchfield, MN",45.1258332,-94.5283333,"Frequency: 1410 AM<br>Location: Litchfield, MN<br>unnamed (1): <br>Format: Variety",,,<value>1410 AM</value>,<value>Variety</value>,,,,,,<value/>,"<value>Litchfield, MN</value>"
WYYZ,"Jasper, GA",34.4695524,-84.4289888,"Frequency: 1490 AM<br>Location: Jasper, GA<br>unnamed (1): <br>Format: Classic Country",,,<value>1490 AM</value>,<value>Classic Country</value>,,,,,,<value/>,"<value>Jasper, GA</value>"
KBUC,"Raymonville, TX",26.4814565,-97.783051,"Frequency: 102.1 FM<br>Location: Raymonville, TX<br>unnamed (1): <br>Format: Super Tejano",,,<value>102.1 FM</value>,<value>Super Tejano</value>,,,,,,<value/>,"<value>Raymonville, TX</value>"
