CallSign,StationLat,StationLon,Service,RFChannel,LicenseExpirationDate,StatusDate,Status,CommunityCity,CommunityState,FacilityType,Frequency,ActiveInd,PartyName,PartyAddress1,PartyAddress2,PartyCity,PartyZip1,PartyState,PartyPhone
KRRR,41.134417,-104.692722,FM Station,285,10/01/2029,,LICENSED,CHEYENNE,WY,CDT,104.9,Y,BRAHMIN BROADCASTING CORPORATION,288 SOUTH RIVER ROAD,,BEDFORD,3110,NH,6036686400
KCFN,38.019167,-97.383917,FM Station,216,06/01/2029,,LICENSED,WICHITA,KS,ED,91.1,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888
KBUZ,39.005278,-96.049722,FM Station,212,06/01/2029,,LICENSED,TOPEKA,KS,ED,90.3,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888
KEHM,32.368444,-100.990389,FM Station,257,08/01/2029,11/24/2014,LICENSED,COLORADO CITY,TX,H,99.3,Y,HISPANIC TARGET MEDIA INC.,2433 E. PALO VERDE STREET,,YUMA,85364,AZ,(602)283-3293
KAPO,,,FM Station,215,,,CP OFF AIR,BODEGA BAY,CA,EDT,90.9,Y,OPEN SKY RADIO CORP,42528 COUNTY ROAD 1,,LAKE CITY,96115,CA,7755578891
KWFG-FM,33.441194,-99.633972,FM Station,297,08/01/2029,07/19/2021,LICENSED,KNOX CITY,TX,H,107.3,Y,MEKADDESH GROUP CORPORATION,8330 LBJ FREEWAY,B302,DALLAS,75243,TX,
KSJO,37.208833,-121.775222,FM Station,222,12/01/2029,09/14/2000,LICENSED,SAN JOSE,CA,CDT,92.3,Y,Silicon Valley Asian Media Group LLC,39111 Paseo Padre Parkway,Suite 101,Fremont,94538,CA,4085162121
WGCM-FM,30.34575,-89.196417,FM Station,272,06/01/2028,,LICENSED,GULFPORT,MS,CDT,102.3,Y,"JLE, Incorporated",,,Gulfport,39505,MS,2288965500
WBGQ,36.380083,-83.179611,FM Station,264,08/01/2028,04/17/2001,LICENSED,BULLS GAP,TN,CDT,100.7,Y,Cherokee Broadcasting LLC,,,Morristown,37815,TN,8659933639
KMXV,39.015833,-94.506889,FM Station,227,02/01/2029,,LICENSED,KANSAS CITY,MO,H,93.3,Y,"MGTF MEDIA COMPANY, LLC",5000 MCKNIGHT ROAD,SUITE 401,PITTSBURGH,15237,PA,(412)316-3342
KCYN,38.526917,-109.3065,FM Station,246,10/01/2029,01/14/2003,LICENSED,MOAB,UT,CDT,97.1,Y,"AZED 5 Communications, LLC",715 Malachi Street,,Grand Junction,81307,CO,4352224670
WSNO-FM,,,FM Station,250,06/01/2030,06/17/2016,LICENSED,AU SABLE,NY,CDT,97.9,Y,"Great Eastern Radio, LLC",35 South Main Street,Suite 300,Hanover,3755,NH,6033597110
WTZI,41.955583,-87.867278,FM Station,201,12/01/2028,01/22/2015,LICENSED,ROSEMONT,IL,EDT,88.1,Y,RadioEd,175 E Delaware Pl,#4623,Chicago,60611,IL,2246125704
KSQX,32.9815,-97.705306,FM Station,206,08/01/2029,08/28/1999,LICENSED,SPRINGTOWN,TX,ED,89.1,Y,"BRAZOS TV, INC.",5624 PECAN CIR,,ALVARADO,76009,TX,(972)827-7531
WHCB,36.43425,-82.134,FM Station,218,08/01/2028,,LICENSED,BRISTOL,TN,ED,91.5,Y,APPALACHIAN EDUCATIONAL COMMUNICATION CORPORATION,P.O. BOX 5,,BLOUNTVILLE,37617,TN,(423)878-6279
WGOG,34.85925,-83.058194,FM Station,269,12/01/2027,,LICENSED,WALHALLA,SC,H,101.7,Y,"APPALACHIAN BROADCASTING COMPANY, INC.",P.O. DRAWER E,,TOCCOA,30577,GA,(706)491-4457
KWKZ,37.060583,-89.62425,FM Station,291,02/01/2029,,LICENSED,CHARLESTON,MO,CDT,106.1,Y,"Dockins Broadcast Group, LLC",900 East Karsch Blvd.,,Farmington,63640,MO,5737014708
KKNG-FM,35.177278,-97.603083,FM Station,247,06/01/2029,,LICENSED,BLANCHARD,OK,CDT,97.3,Y,KKNG Radio LLC,"5101 S. Shields Blvd., #A",,Oklahoma City,73129,OK,4056812500
WOSN,27.735306,-80.457278,FM Station,246,02/01/2028,,LICENSED,INDIAN RIVER SHORES,FL,H,97.1,Y,"VERO BEACH BROADCASTERS, LLC",2255 GLADES ROAD,SUITE 221,BOCA RATON,33487,FL,(561)998-8000
KYBF,,,FM Station,211,,,CP OFF AIR,SCOTTSBLUFF,NE,EDT,90.1,Y,"Bible Broadcasting Network, Inc.",11530 Carmel Commons Boulevard,,Charlotte,28226,NC,7045235555
KNBJ,47.705778,-94.486083,FM Station,217,04/01/2029,,LICENSED,BEMIDJI,MN,EDT,91.3,Y,MINNESOTA PUBLIC RADIO,480 Cedar Street,,Saint Paul,55101,MN,6512901500
WBVB,38.424222,-82.534306,FM Station,246,10/01/2028,,LICENSED,COAL GROVE,OH,CDT,97.1,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581
WASU-FM,36.233167,-81.698417,FM Station,213,12/01/2027,12/13/2000,LICENSED,BOONE,NC,ED,90.5,Y,WASU-FM,WEY HALL,APPALACHIAN STATE UNIVERSITY,BOONE,28608,NC,
KJGC,,,FM Station,205,06/01/2029,,LICENSED,GARDEN CITY,KS,EDT,88.9,Y,"Great Plains Christian Radio, Inc.",909 W. Carthage,,Meade,67864,KS,7856941677
WXBK,,,FM Station,234,06/01/2030,03/02/2001,LICENSED,NEWARK,NJ,CDT,94.7,Y,"Audacy License, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,6106605610
KAMC-FM,,,FM Station,214,02/01/2030,,LICENSED,SOLDOTNA,AK,EDT,90.7,Y,Alaska Multi Culture Corp.,44510 Parkway Ave.,,Soldotna,99669,AK,9072527220
KBAD-FM,,,FM Station,201,,,CP OFF AIR,Anahola,HI,EDT,88.1,Y,"COMMUNITY SERVICE BROADCASTING FOUNDATION, INC.",188 RIDGEVIEW,,AUXIER,41602,KY,6067948895
KRIL,,,FM Station,208,,,CP OFF AIR,FORT LARAMIE,WY,EDT,89.5,Y,"Cheyenne Broadcasting Foundation, Inc.",7311 Christensen Road,,Cheyenne,82009,WY,3074608695
KCKI,,,FM Station,206,,,CP OFF AIR,MARSHALL,MO,EDT,89.1,Y,Lake Area Educational Broadcasting Foundation,PO Box 800,128 Possom Hollow Drive,Camdenton,65020,MO,5733463200
WBHT,41.182556,-75.871583,FM Station,246,08/01/2030,,LICENSED,MOUNTAIN TOP,PA,CDT,97.1,Y,"RADIO LICENSE HOLDING CBC, LLC",780 Johnson Ferry Road,Suite 500,Atlanta,30342,GA,4049490700
WOXY,39.515889,-84.351333,FM Station,249,10/01/2028,,LICENSED,MASON,OH,H,97.7,Y,LAZO MEDIA LLC,4200 REGENT STREET,SUITE 200,COLUMBUS,43065,OH,(614)229-4422
WFCM-FM,35.800333,-86.621389,FM Station,219,08/01/2028,,LICENSED,MURFREESBORO,TN,ED,91.7,Y,THE MOODY BIBLE INSTITUTE OF CHICAGO,820 NORTH LASALLE BOULEVARD,,CHICAGO,60610,IL,(312)329-4438
WCBE,39.962222,-83.002222,FM Station,213,10/01/2028,,LICENSED,COLUMBUS,OH,ED,90.5,Y,"BD.OF EDUC., CITY SCH.DIST., COLUMBUS",270 E. STATE STREET,,COLUMBUS,43215,OH,
WWSU,39.782611,-84.061611,FM Station,295,10/01/2028,09/15/2021,LICENSED,FAIRBORN,OH,ED,106.9,Y,WRIGHT STATE UNIVERSITY,3640 COLONEL GLENN HIGHWAY,356 UNIVERSITY HALL,DAYTON,45435,OH,
WMHC,42.253417,-72.577306,FM Station,218,04/01/2030,,LICENSED,SOUTH HADLEY,MA,ED,91.5,Y,TRUSTEES OF MOUNT HOLYOKE COLLEGE,50 COLLEGE STREET,CENTRAL SERVICES COMPLEX,SOUTH HADLEY,1075,MA,
KVSP,35.251167,-98.615056,FM Station,278,06/01/2029,12/21/2001,LICENSED,ANADARKO,OK,H,103.5,Y,"PERRY BROADCASTING OF SOUTHWEST OKLAHOMA, INC.",1528 NE 23RD STREET,,OKLAHOMA CITY,73111,OK,(405)424-4695
KNSW,43.883583,-95.929194,FM Station,219,04/01/2021,,LICENSED,WORTHINGTON-MARSHALL,MN,EDT,91.7,Y,MINNESOTA PUBLIC RADIO,480 CEDAR ST,,SAINT PAUL,55101,MN,6512901259
KKID,37.729222,-91.473194,FM Station,225,02/01/2029,12/06/1999,LICENSED,SALEM,MO,H,92.9,Y,STEVEN K. WHEELER AND JILL E. WHEELER,1413B FORUM DRIVE,,ROLLA,65401,MO,(573)364-4433
KNWR,47.263167,-120.393111,FM Station,214,02/01/2030,,LICENSED,ELLENSBURG,WA,ED,90.7,Y,WASHINGTON STATE UNIVERSITY,EDUCATIONAL TELECOMMUNICATIONS AND TECH.,"MURROW COMM CENTER, P.O. BOX 642530",PULLMAN,99164,WA,(509)335-6511
KCVC,,,FM Station,211,06/01/2028,02/08/2008,LICENSED AND SILENT,CHERRY VALLEY,AR,EDT,90.1,Y,"Community Broadcasting, Inc.","10550 Barkley, Suite 108",,Overland Park,66212,KS,9136427770
WDAA,,,FM Station,268,11/03/2024,,CP OFF AIR,Bruce,MS,CDT,101.5,Y,"SSR Communications, Inc.",740 Highway 49 North,Suite R,Flora,39071,MS,6012012789
KDCQ,43.354,-124.244,FM Station,225,02/01/2030,,LICENSED,COOS BAY,OR,H,92.9,Y,"BAY CITIES BUILDING COMPANY, INC.",P.O. BOX 478,,COOS BAY,97420,OR,
KPCR,,,FM Station,257,04/01/2013,08/08/2017,LICENSED AND SILENT,FOWLER,CO,H,99.3,N,YOUNGERS COLORADO BROADCASTING LLC,1951 28TH AVENUE,UNIT 29,GREELEY,80634,CO,9703028444
WMFO,42.407583,-71.120306,FM Station,218,04/01/2030,,LICENSED,MEDFORD,MA,EDT,91.5,Y,TUFTS UNIVERSITY,BALLOU HALL 419 BOSTON AVENUE,ATTN:  OFFICE OF UNIVERSITY COUNSEL,MEDFORD,2155,MA,6176273326
KCAM-FM,62.113972,-145.537444,FM Station,204,02/01/2030,08/18/2011,LICENSED,GLENNALLEN,AK,EDT,88.7,Y,JOY MEDIA MINISTRIES,PO BOX 249,,GLENNALLEN,99588,AK,9856290777
WELN,,,FM Station,205,,,CP OFF AIR,ELLENBURG,NY,EDT,88.9,Y,The St. Lawrence University,North Country Public Radio,23 Romoda Drive,Canton,13617,NY,3152295356
KHBN,,,FM Station,217,,,CP OFF AIR,BELOIT,KS,EDT,91.3,Y,Bethany Church of Lincoln County,2653 M Rd,,Beloit,67420,KS,7855343244
WZUM-FM,40.216167,-80.558389,FM Station,201,10/01/2027,08/31/2013,LICENSED,BETHANY,WV,EDT,88.1,Y,PITTSBURGH PUBLIC MEDIA,P.O. BOX 456,,SOUTH PARK,15129,PA,4126387250
KZPT,39.022222,-94.513833,FM Station,259,02/01/2029,06/13/2001,LICENSED,KANSAS CITY,MO,H,99.7,Y,"AUDACY LICENSE, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,(610)660-5610
KNWV,46.457083,-117.100972,FM Station,213,02/01/2030,,LICENSED,CLARKSTON,WA,ED,90.5,Y,WASHINGTON STATE UNIVERSITY,EDWARD R MURROW COLLEGE OF COMMUNICATION,P.O. BOX 642530,PULLMAN,99164,WA,(509)335-6511
WBLV,43.552111,-86.042,FM Station,212,10/01/2028,,LICENSED,TWIN LAKE,MI,ED,90.3,Y,BLUE LAKE FINE ARTS CAMP,300 E CRYSTAL LAKE RD,,TWIN LAKE,49457,MI,(231)894-1966
KUAT-FM,32.415389,-110.715056,FM Station,213,10/01/2029,,LICENSED,TUCSON,AZ,ED,90.5,Y,ARIZONA BOARD OF REGENTS FOR BENEFIT OF UNIVERSITY OF ARIZ.,UNIVERSITY OF ARIZONA,P.O. BOX 210067,TUCSON,85721,AZ,
KMYQ,,,FM Station,201,,,CP OFF AIR,Caliente,NV,EDT,88.1,Y,"Community Service Broadcasting Foundation, Inc.",188 Ridgeview,,Auxier,41602,KY,6067948895
KMYQ,,,FM Station,201,,,CP OFF AIR,Caliente,NV,EDT,88.1,Y,"Community Service Broadcasting Foundation, Inc.",188 Ridgeview,,Auxier,41602,KY,6067948895
WMYQ,33.502333,-90.338972,FM Station,226,08/21/2023,,CP OFF AIR,SHAW,MS,CDT,93.1,Y,KIZART MEDIA PARTNERS,2313 W. HARRISON STREET,SUITE 4,CHICAGO,60612,IL,3214214803
WMYQ,33.502333,-90.338972,FM Station,226,08/21/2023,,CP OFF AIR,SHAW,MS,CDT,93.1,Y,KIZART MEDIA PARTNERS,2313 W. HARRISON STREET,SUITE 4,CHICAGO,60612,IL,3214214803
WKSG,,,FM Station,252,08/01/2028,,LICENSED,GARRISON,KY,EDT,98.3,Y,Strong Tower Christian Media,1205 Whitefield Circle,,Xenia,45385,OH,0
KLWS,47.31375,-119.583083,FM Station,218,02/01/2030,02/15/2001,LICENSED,MOSES LAKE,WA,ED,91.5,Y,WASHINGTON STATE UNIVERSITY,EDUCATIONAL TELECOMMUNICATIONS AND TECH.,"MURROW COMM CENTER, P.O. BOX 642530",PULLMAN,99164,WA,(509)335-6511
KSWD,47.504556,-121.969,FM Station,231,02/01/2030,08/30/2002,LICENSED,SEATTLE,WA,H,94.1,Y,"AUDACY LICENSE, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,(610)660-5610
KVGG,,,FM Station,270,10/01/2013,03/18/2017,LICENSED AND SILENT,SALOME,AZ,H,101.9,N,"KEMP COMMUNICATIONS, INC.",3800 HOWARD HUGHES PARKWAY,"WELLS FARGO TOWER, 17TH FLOOR",LAS VEGAS,89169,NV,(702)385-6000
WBFH,42.577806,-83.286028,FM Station,201,10/01/2028,01/05/2016,LICENSED,BLOOMFIELD HILLS,MI,ED,88.1,Y,BLOOMFIELD HILLS SCHOOL DISTRICT,4200 ANDOVER ROAD,,BLOOMFIELD HILLS,48302,MI,(248)341-5690
KFAA,46.87525,-96.908972,FM Station,208,04/01/2029,06/14/2010,LICENSED AND REDUCED POWER,HORACE,ND,EDT,89.5,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BOULEVARD,,ROCKLIN,95765,CA,9162511600
KIXK,,,FM Station,214,,,CP OFF AIR,Caliente,NV,EDT,90.7,Y,"Community Service Broadcasting Foundation, Inc.",188 Ridgeview,,Auxier,41602,KY,6067948895
KIXK,,,FM Station,214,,,CP OFF AIR,Caliente,NV,EDT,90.7,Y,"Community Service Broadcasting Foundation, Inc.",188 Ridgeview,,Auxier,41602,KY,6067948895
WQBE-FM,38.406194,-81.723722,FM Station,248,10/01/2027,,LICENSED,CHARLESTON,WV,H,97.5,Y,"BRISTOL BROADCASTING COMPANY, INC.",PO BOX 1389,,BRISTOL,24201,VA,
KMGZ,34.575361,-98.475333,FM Station,237,06/01/2029,,LICENSED,LAWTON,OK,H,95.3,Y,"BROADCO OF TEXAS, INC.",1421 NW GREAT PLAINS BOULEVARD,SUITE C,LAWTON,73505,OK,(580)536-9530
KYKY,38.574417,-90.325528,FM Station,251,02/01/2029,,LICENSED,ST. LOUIS,MO,H,98.1,Y,"AUDACY LICENSE, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,(610)660-5610
WBQA,44.025361,-69.570889,FM Station,244,04/01/2030,,LICENSED,BOOTHBAY HARBOR,ME,ED,96.7,Y,MAINE PUBLIC BROADCASTING CORPORATION,1450 LISBON STREET,,LEWISTON,4240,ME,(207)783-9101
KWNE,39.130444,-123.076667,FM Station,233,12/01/2029,01/14/2002,LICENSED,UKIAH,CA,CDT,94.5,Y,BROADCASTING CORP. OF MENDOCINO COUNTY,"1100 HASTINGS ROAD ""B""",,UKIAH,95482,CA,7072721109
WKDQ,37.882556,-87.541111,FM Station,258,08/01/2028,,LICENSED,HENDERSON,KY,H,99.5,Y,"TOWNSQUARE MEDIA OF EVANSVILLE/OWENSBORO, INC.",1 MANHATTANVILLE ROAD,SUITE 202,PURCHASE,10577,NY,(203)861-0900
WFMK,42.675861,-84.499972,FM Station,256,10/01/2028,,LICENSED,EAST LANSING,MI,CDT,99.1,Y,"Townsquare License, LLC",1 Manhattanville Road,Suite 202,Purchase,10577,NY,2038610900
WWKI,40.451139,-86.036639,FM Station,263,08/01/2028,,LICENSED AND REDUCED POWER,KOKOMO,IN,CDT,100.5,Y,"RADIO LICENSE HOLDING CBC, LLC",780 Johnson Ferry Road,Suite 500,Atlanta,30342,GA,4049490700
KVRE,34.642306,-93.071556,FM Station,225,06/01/2028,,LICENSED,HOT SPRINGS VILLAGE,AR,H,92.9,Y,CADDO BROADCASTING COMPANY,122 DESOTO CENTER DRIVE,,HOT SPRINGS VILLAGE,71909,AR,(501)922-5678
WHVC,41.841028,-73.990056,FM Station,273,06/01/2030,09/12/2018,LICENSED,RHINEBECK,NY,EDT,102.5,Y,"Redeemer Broadcasting, Inc.",P.O. Box 1520,,Olivebridge,12461,NY,8887244427
WZFT,39.336222,-76.649417,FM Station,282,10/01/2027,,LICENSED,BALTIMORE,MD,CDT,104.3,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581
WLZW,43.14425,-75.178778,FM Station,254,06/01/2022,,LICENSED,UTICA,NY,H,98.7,Y,"TOWNSQUARE MEDIA LICENSEE OF UTICA/ROME, INC.",1 MANHATTANVILLE ROAD,SUITE 202,PURCHASE,10577,NY,(203)861-0900
WLHE,,,FM Station,204,,,CP OFF AIR,CADIZ,KY,EDT,88.7,Y,Madisonville Baptist Temple Inc.,,,Madisonville,42431,KY,2708253004
KAWC-FM,32.673361,-114.337139,FM Station,205,10/01/2029,12/02/2002,LICENSED,YUMA,AZ,ED,88.9,Y,ARIZONA WESTERN COLLEGE,P.O. BOX 929,,YUMA,85366,AZ,(928)317-6000
KCGS-FM,,,FM Station,201,06/01/2028,,LICENSED,MARSHALL,AR,EDT,88.1,Y,"Ichthus Family Hope, Inc.",204 Zack Ridge Road,,Marshall,72650,AR,8708410338
WCMN-FM,18.245778,-66.811556,FM Station,297,02/01/2028,01/25/2018,LICENSED,ARECIBO,PR,H,107.3,Y,CARIBBEAN BROADCASTING CORP.,PO BOX 363222,,SAN JUAN,936,PR,(787)474-0630
KXSR,38.062694,-120.246833,FM Station,219,12/01/2029,,LICENSED,GROVELAND,CA,ED,91.7,Y,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO",7055 FOLSOM BLVD,,SACRAMENTO,95826,CA,(916)480-5900
WJJZ,44.814944,-72.239306,FM Station,233,04/01/2030,11/06/2014,LICENSED,IRASBURG,VT,H,94.5,Y,"VERMONT BROADCAST ASSOCIATES, INC",P.O.BOX 97,,LYNDONVILLE,5851,VT,
KWVE-FM,33.711139,-117.532833,FM Station,300,12/01/2029,10/27/2000,LICENSED,SAN CLEMENTE,CA,H,107.9,Y,CALVARY CHAPEL OF COSTA MESA,"3000 W. MACARTHUR BLVD., SUITE 500",,SANTA ANA,92704,CA,
WCKJ,44.411167,-71.969806,FM Station,213,04/01/2030,11/02/1999,LICENSED,ST. JOHNSBURY,VT,ED,90.5,Y,"CHRISTIAN MINISTRIES, INC.",140 MAIN STREET,,ESSEX JUNCTION,5452,VT,(802)878-8885
KWWS,45.984389,-118.170361,FM Station,209,02/01/2030,,LICENSED,WALLA WALLA,WA,ED,89.7,Y,WASHINGTON STATE UNIVERSITY,EDUCATIONAL TELECOMMUNICATIONS AND TECH.,"PO BOX 642530, MURROW COMM CENTER",PULLMAN,99164,WA,(509)335-6511
WAXJ,17.722472,-64.88375,FM Station,278,02/01/2028,11/30/2005,LICENSED,FREDERIKSTED,VI,H,103.5,Y,"REEF BROADCASTING, INC.",6079A CASTLE COAKLEY,,CHRISTIANSTED,820,VI,(340)719-1620
WERH,,,FM Station,211,,,CP OFF AIR,HAMILTON,AL,EDT,90.1,Y,"BIG SOUTH COMMUNITY BROADCASTING, INC.",PO Box 1065,,Jasper,35502,AL,2053883224
WERH-FM,,,FM Station,221,04/01/2020,05/01/2017,LICENSED AND SILENT,HAMILTON,AL,H,92.1,N,KATE F. FITE,P.O. BOX 1119,,HAMILTON,35570,AL,
WBTR-FM,33.565111,-85.017167,FM Station,221,04/01/2028,,LICENSED,CARROLLTON,GA,H,92.1,Y,"WYAI, INC.",102 PARKWOOD CIRCLE,,CARROLLTON,30117,GA,(770)574-1060
WPUC-FM,18.174417,-66.592139,FM Station,205,02/01/2028,,LICENSED,PONCE,PR,ED,88.9,Y,"PONTIFICAL CATHOLIC UNIV OF PUERTO RICO SERVICE ASSN, INC.","2250 LAS AMERICAS AVENUE, SUITE 529",,PONCE,717,PR,(787)651-2000
